y_mm \ x_mm,-40.00,-35.00,-30.00,-25.00,-20.00,-15.00,-10.00,-5.00,0.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00
40.00,,,,,,,,,,,,,,,,,
35.00,,,,,,,,0.0000,,0.0000,,,,,,,
30.00,,,,,0.5000,,0.0000,,0.0000,,0.0000,,0.5000,,,,
25.00,,,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.5000,,,
20.00,,,,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.5000,,
15.00,,,,0.0000,,0.0000,,0.5000,,0.0000,,0.0000,,0.0000,,,
10.00,,,0.5000,,0.0000,,0.7071,,0.0000,,0.5000,,0.0000,,0.5000,,
5.00,,,,0.0000,,0.5000,,0.0000,,0.0000,,0.7071,,0.0000,,0.5000,
0.00,,,0.0000,,0.0000,,0.0000,,0.0000,,0.5000,,0.5000,,0.0000,,
-5.00,,0.5000,,0.0000,,0.5000,,0.7071,,0.5000,,0.5000,,0.0000,,,
-10.00,,,0.5000,,0.5000,,0.5000,,0.7071,,0.5000,,0.0000,,0.0000,,
-15.00,,,,0.0000,,0.0000,,0.5000,,0.5000,,0.0000,,0.0000,,,
-20.00,,,0.0000,,0.0000,,0.5000,,0.5000,,0.7071,,0.0000,,,,
-25.00,,,,0.0000,,0.0000,,0.5000,,0.5000,,0.0000,,,,,
-30.00,,,,,0.0000,,0.0000,,0.0000,,0.0000,,,,,,
-35.00,,,,,,,,,,,,,,,,,
-40.00,,,,,,,,,,,,,,,,,
-45.00,,,,,,,,,,,,,,,,,
